Index,TimeStamp,Site,ProductName,ProductUrl,ProductBrand,OriginalPrice,CurrentPrice,Discount%
41,06/07/2021 18:09:41,Myntra,Women Solid Pumps,https://www.myntra.com/heels/code-by-lifestyle/code-by-lifestyle-women-blue-solid-pumps/13864302/buy,CODE by Lifestyle,1899,1899,0
42,06/07/2021 18:09:41,Myntra,Women Pumps,https://www.myntra.com/heels/code-by-lifestyle/code-by-lifestyle-women-pink-solid-pumps/13864310/buy,CODE by Lifestyle,1899,1899,0
43,06/07/2021 18:09:41,Myntra,Printed Top,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-women-black-printed-top/13131050/buy,CODE by Lifestyle,1699,849,50
44,06/07/2021 18:09:41,Myntra,Solid Satchel,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-red-solid-satchel/14029808/buy,CODE by Lifestyle,2099,2099,0
45,06/07/2021 18:09:41,Myntra,Women Sandals,https://www.myntra.com/heels/ginger-by-lifestyle/ginger-by-lifestyle-women-pink-solid-sandals/13795064/buy,Ginger by Lifestyle,1299,1299,0
46,06/07/2021 18:09:41,Myntra,Solid Satchel,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-black-solid-satchel/14152826/buy,CODE by Lifestyle,1699,1699,0
47,06/07/2021 18:09:41,Myntra,Bodycon Dress,https://www.myntra.com/dresses/ginger-by-lifestyle/ginger-by-lifestyle-black-bodycon-dress/14334864/buy,Ginger by Lifestyle,2299,2299,0
48,06/07/2021 18:09:41,Myntra,Printed Sweatshirt,https://www.myntra.com/tshirts/ginger-by-lifestyle/ginger-by-lifestyle-women-pink-printed-sweatshirt/13846788/buy,Ginger by Lifestyle,1049,734,30
49,06/07/2021 18:09:41,Myntra,Printed Top,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-women-white-printed-top/13575814/buy,CODE by Lifestyle,1699,1699,0
50,06/07/2021 18:09:41,Myntra,A-Line Dress,https://www.myntra.com/dresses/ginger-by-lifestyle/ginger-by-lifestyle-black-a-line-dress/14334868/buy,Ginger by Lifestyle,2499,2499,0
